Type, Run, Ratio, Test1, Test2
1600x900, 14, 4:3, 91.80, 77.04
1600x900, 14, 5:4, 91.61, 76.53
1600x900, 14, 16:10, 93.66, 78.18
1600x900, 14, 16:9, 93.97, 78.52
1600x900, 14, 21:9, 93.57, 78.37
1600x900, 14, 9:16, 91.27, 80.76
1600x900, 15, 4:3, 91.45, 77.06
1600x900, 15, 5:4, 90.95, 76.47
1600x900, 15, 16:10, 94.18, 78.31
1600x900, 15, 16:9, 94.11, 78.61
1600x900, 15, 21:9, 93.62, 78.29
1600x900, 15, 9:16, 91.44, 81.01
1600x900, 2, 4:3, 93.33, 77.94
1600x900, 2, 5:4, 91.06, 76.62
1600x900, 2, 16:10, 93.70, 78.21
1600x900, 2, 16:9, 96.90, 79.86
1600x900, 2, 21:9, 93.72, 78.64
1600x900, 2, 9:16, 92.42, 81.45
1600x900, 3, 4:3, 91.51, 77.33
1600x900, 3, 5:4, 90.98, 76.56
1600x900, 3, 16:10, 94.11, 78.33
1600x900, 3, 16:9, 94.86, 78.61
1600x900, 3, 21:9, 93.64, 78.65
1600x900, 3, 9:16, 91.33, 81.21
1600x900, 4, 4:3, 91.55, 77.15
1600x900, 4, 5:4, 91.06, 76.64
1600x900, 4, 16:10, 94.06, 78.42
1600x900, 4, 16:9, 94.51, 78.55
1600x900, 4, 21:9, 92.97, 78.55
1600x900, 4, 9:16, 91.41, 80.96
1600x900, 5, 4:3, 91.62, 77.09
1600x900, 5, 5:4, 91.24, 76.57
1600x900, 5, 16:10, 94.23, 78.10
1600x900, 5, 16:9, 93.95, 78.62
1600x900, 5, 21:9, 93.13, 78.43
1600x900, 5, 9:16, 91.36, 81.08
1600x900, 6, 4:3, 91.59, 77.00
1600x900, 6, 5:4, 90.99, 76.38
1600x900, 6, 16:10, 93.69, 77.90
1600x900, 6, 16:9, 94.16, 78.58
1600x900, 6, 21:9, 93.42, 78.45
1600x900, 6, 9:16, 91.08, 80.96
1600x900, 7, 4:3, 91.48, 76.94
1600x900, 7, 5:4, 91.05, 76.47
1600x900, 7, 16:10, 93.71, 78.20
1600x900, 7, 16:9, 94.19, 78.47
1600x900, 7, 21:9, 93.26, 78.36
1600x900, 7, 9:16, 91.28, 80.80
1600x900, 8, 4:3, 91.23, 76.84
1600x900, 8, 5:4, 91.10, 76.62
1600x900, 8, 16:10, 94.22, 78.26
1600x900, 8, 16:9, 94.23, 78.42
1600x900, 8, 21:9, 93.10, 78.42
1600x900, 8, 9:16, 91.60, 80.91
1600x900, 9, 4:3, 91.57, 76.74
1600x900, 9, 5:4, 91.17, 76.72
1600x900, 9, 16:10, 93.91, 78.27
1600x900, 9, 16:9, 94.08, 78.56
1600x900, 9, 21:9, 93.21, 78.46
1600x900, 9, 9:16, 91.02, 80.99
1920x1080, 1, 4:3, 72.24, 62.24
1920x1080, 1, 5:4, 72.45, 62.25
1920x1080, 1, 16:10, 72.95, 61.94
1920x1080, 1, 16:9, 72.48, 61.98
1920x1080, 1, 21:9, 73.81, 63.67
1920x1080, 1, 9:16, 70.98, 64.01
1920x1080, 10, 4:3, 72.57, 62.55
1920x1080, 10, 5:4, 72.04, 61.76
1920x1080, 10, 16:10, 72.77, 61.61
1920x1080, 10, 16:9, 72.76, 62.38
1920x1080, 10, 21:9, 74.06, 63.83
1920x1080, 10, 9:16, 71.26, 64.21
1920x1080, 11, 4:3, 72.14, 62.49
1920x1080, 11, 5:4, 71.59, 61.91
